,Table,Column,DataType,ValueType,Formula,Hidden,Naming
4,BalanceOfPower,Category,string,tableColumn,,0.0,BalanceOfPower[Category]
2,BalanceOfPower,Country,string,tableColumn,,0.0,BalanceOfPower[Country]
5,BalanceOfPower,Country_mapping,string,tableColumn,,0.0,BalanceOfPower[Country_mapping]
6,BalanceOfPower,Name of Investor Group,string,tableColumn,,0.0,BalanceOfPower[Name of Investor Group]
3,BalanceOfPower,National MB market share,double,tableColumn,,0.0,BalanceOfPower[National MB market share]
0,BalanceOfPower,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,BalanceOfPower[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
1,BalanceOfPower,index,int64,tableColumn,,0.0,BalanceOfPower[index]
609,Competitor Comparison Categories,Category,string,tableColumn,,0.0,Competitor Comparison Categories[Category]
608,Competitor Comparison Categories,Function,string,tableColumn,,0.0,Competitor Comparison Categories[Function]
607,Competitor Comparison Categories,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,Competitor Comparison Categories[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
610,Competitor Comparison Categories,Sorting,int64,tableColumn,,0.0,Competitor Comparison Categories[Sorting]
517,CounterMeasure,Actual,string,tableColumn,,0.0,CounterMeasure[Actual]
522,CounterMeasure,Comment,string,tableColumn,,0.0,CounterMeasure[Comment]
514,CounterMeasure,Control lever,string,tableColumn,,0.0,CounterMeasure[Control lever]
525,CounterMeasure,Country,string,tableColumn,,0.0,CounterMeasure[Country]
524,CounterMeasure,Country_mapping,string,tableColumn,,0.0,CounterMeasure[Country_mapping]
511,CounterMeasure,ID,string,tableColumn,,0.0,CounterMeasure[ID]
527,CounterMeasure,Impact dealer in m €,string,tableColumn,,0.0,CounterMeasure[Impact dealer in m €]
528,CounterMeasure,Impact manufacturer in m €,string,tableColumn,,0.0,CounterMeasure[Impact manufacturer in m €]
520,CounterMeasure,Impact on dealer RoS in %,string,tableColumn,,0.0,CounterMeasure[Impact on dealer RoS in %]
516,CounterMeasure,Implementation period,string,tableColumn,,0.0,CounterMeasure[Implementation period]
512,CounterMeasure,Line item,string,tableColumn,,0.0,CounterMeasure[Line item]
513,CounterMeasure,MPC,string,tableColumn,,0.0,CounterMeasure[MPC]
515,CounterMeasure,Measure,string,tableColumn,,0.0,CounterMeasure[Measure]
523,CounterMeasure,Reporting Period,string,tableColumn,,0.0,CounterMeasure[Reporting Period]
509,CounterMeasure,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,CounterMeasure[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
521,CounterMeasure,Status of fulfilment,double,tableColumn,,0.0,CounterMeasure[Status of fulfilment]
518,CounterMeasure,Target,string,tableColumn,,0.0,CounterMeasure[Target]
510,CounterMeasure,index,string,tableColumn,,0.0,CounterMeasure[index]
526,CounterMeasure,level_0,int64,tableColumn,,0.0,CounterMeasure[level_0]
519,CounterMeasure,Δ Delta,string,tableColumn,,0.0,CounterMeasure[Δ Delta]
496,CurrentSituation,Country,string,tableColumn,,0.0,CurrentSituation[Country]
495,CurrentSituation,Country_mapping,string,tableColumn,,0.0,CurrentSituation[Country_mapping]
493,CurrentSituation,Current situation,string,tableColumn,,0.0,CurrentSituation[Current situation]
490,CurrentSituation,ID,string,tableColumn,,0.0,CurrentSituation[ID]
491,CurrentSituation,Line item,string,tableColumn,,0.0,CurrentSituation[Line item]
492,CurrentSituation,MPC,string,tableColumn,,0.0,CurrentSituation[MPC]
494,CurrentSituation,Reporting Period,string,tableColumn,,0.0,CurrentSituation[Reporting Period]
488,CurrentSituation,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,CurrentSituation[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
489,CurrentSituation,index,int64,tableColumn,,0.0,CurrentSituation[index]
251,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e,Date,dateTime,calculatedTableColumn,"Calendar(Date(2015,1,1), Date(2015,1,1))",1.0,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e[Date]
257,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e,Day,int64,calculated,"Calendar(Date(2015,1,1), Date(2015,1,1))",1.0,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e[Day]
253,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e,MonthNo,int64,calculated,"Calendar(Date(2015,1,1), Date(2015,1,1))",1.0,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e[MonthNo]
254,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e,Month,string,calculated,"Calendar(Date(2015,1,1), Date(2015,1,1))",1.0,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e[Month]
255,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e,QuarterNo,int64,calculated,"Calendar(Date(2015,1,1), Date(2015,1,1))",1.0,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e[QuarterNo]
256,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e,Quarter,string,calculated,"Calendar(Date(2015,1,1), Date(2015,1,1))",1.0,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e[Quarter]
250,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,"Calendar(Date(2015,1,1), Date(2015,1,1))",1.0,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
252,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e,Year,int64,calculated,"Calendar(Date(2015,1,1), Date(2015,1,1))",1.0,DateTableTemplate_203bb065-13ae-4477-989d-04d680fbd81e[Year]
282,FactSheetTotal_left,ArrowsGreenRedCode,double,tableColumn,,0.0,FactSheetTotal_left[ArrowsGreenRedCode]
263,FactSheetTotal_left,Business Share CY_Q,string,tableColumn,,0.0,FactSheetTotal_left[Business Share CY_Q]
272,FactSheetTotal_left,CY_Q,string,tableColumn,,0.0,FactSheetTotal_left[CY_Q]
264,FactSheetTotal_left,Country,string,tableColumn,,0.0,FactSheetTotal_left[Country]
267,FactSheetTotal_left,Country_mapping,string,tableColumn,,0.0,FactSheetTotal_left[Country_mapping]
274,FactSheetTotal_left,DeltaIcon,double,calculated,"IFERROR(CONVERT(FactSheetTotal_left[Delta],DOUBLE),-1000000)",0.0,FactSheetTotal_left[DeltaIcon]
273,FactSheetTotal_left,Delta,string,tableColumn,,0.0,FactSheetTotal_left[Delta]
279,FactSheetTotal_left,HasColor,string,tableColumn,,0.0,FactSheetTotal_left[HasColor]
275,FactSheetTotal_left,HeaderColsBGColor,string,calculated,"IF(FactSheetTotal_left[index]<2, FactSheetTotal_left[HeaderRowsBGColor], IF(FactSheetTotal_left[HasColor], FactSheetTotal_left[HighlightRowsBGColor], BLANK()))",0.0,FactSheetTotal_left[HeaderColsBGColor]
277,FactSheetTotal_left,HeaderColsFontColor,string,calculated,"IF(FactSheetTotal_left[index]<2, ""White"", ""#c2c2c2"")",0.0,FactSheetTotal_left[HeaderColsFontColor]
280,FactSheetTotal_left,HeaderRowsBGColor,string,calculated,"""#273746""",0.0,FactSheetTotal_left[HeaderRowsBGColor]
281,FactSheetTotal_left,HighlightRowsBGColor,string,calculated,"""#273746""",0.0,FactSheetTotal_left[HighlightRowsBGColor]
269,FactSheetTotal_left,Mode,string,tableColumn,,0.0,FactSheetTotal_left[Mode]
276,FactSheetTotal_left,NormalColsBGColor,string,calculated,"IF(FactSheetTotal_left[index]<2, FactSheetTotal_left[HeaderRowsBGColor], IF(FactSheetTotal_left[HasColor], FactSheetTotal_left[HighlightRowsBGColor], BLANK()))",0.0,FactSheetTotal_left[NormalColsBGColor]
278,FactSheetTotal_left,NormalColsFontColor,string,calculated,"IF(FactSheetTotal_left[index]<2, ""White"", 
                        IF(FactSheetTotal_left[HasColor], ""#00AEDF"", BLANK()))",0.0,FactSheetTotal_left[NormalColsFontColor]
270,FactSheetTotal_left,PY_Q4,string,tableColumn,,0.0,FactSheetTotal_left[PY_Q4]
271,FactSheetTotal_left,PY_Q,string,tableColumn,,0.0,FactSheetTotal_left[PY_Q]
261,FactSheetTotal_left,Profitability key figures,string,tableColumn,,0.0,FactSheetTotal_left[Profitability key figures]
266,FactSheetTotal_left,Quarter,string,tableColumn,,0.0,FactSheetTotal_left[Quarter]
258,FactSheetTotal_left,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,FactSheetTotal_left[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
262,FactSheetTotal_left,Unit,string,tableColumn,,0.0,FactSheetTotal_left[Unit]
268,FactSheetTotal_left,Year Quarter,string,tableColumn,,0.0,FactSheetTotal_left[Year Quarter]
265,FactSheetTotal_left,Year,string,tableColumn,,0.0,FactSheetTotal_left[Year]
260,FactSheetTotal_left,index,int64,tableColumn,,0.0,FactSheetTotal_left[index]
259,FactSheetTotal_left,level_0,int64,tableColumn,,0.0,FactSheetTotal_left[level_0]
313,FactSheetTotal_right,ArrowsGreenRedCode1,double,tableColumn,,0.0,FactSheetTotal_right[ArrowsGreenRedCode1]
314,FactSheetTotal_right,ArrowsGreenRedCode2,double,tableColumn,,0.0,FactSheetTotal_right[ArrowsGreenRedCode2]
299,FactSheetTotal_right,CG % CY_Q,string,tableColumn,,0.0,FactSheetTotal_right[CG % CY_Q]
302,FactSheetTotal_right,CG % DeltaIcon,double,calculated,"IFERROR(CONVERT([CG % Delta],DOUBLE),-1000000)",0.0,FactSheetTotal_right[CG % DeltaIcon]
300,FactSheetTotal_right,CG % Delta,string,tableColumn,,0.0,FactSheetTotal_right[CG % Delta]
298,FactSheetTotal_right,CG % PY_Q,string,tableColumn,,0.0,FactSheetTotal_right[CG % PY_Q]
296,FactSheetTotal_right,CG CY_Q,string,tableColumn,,0.0,FactSheetTotal_right[CG CY_Q]
301,FactSheetTotal_right,CG DeltaIcon,double,calculated,"IFERROR(CONVERT([CG Delta],DOUBLE),-1000000)",0.0,FactSheetTotal_right[CG DeltaIcon]
297,FactSheetTotal_right,CG Delta,string,tableColumn,,0.0,FactSheetTotal_right[CG Delta]
295,FactSheetTotal_right,CG PY_Q,string,tableColumn,,0.0,FactSheetTotal_right[CG PY_Q]
289,FactSheetTotal_right,Country,string,tableColumn,,0.0,FactSheetTotal_right[Country]
292,FactSheetTotal_right,Country_mapping,string,tableColumn,,0.0,FactSheetTotal_right[Country_mapping]
312,FactSheetTotal_right,EmptyCol,string,calculated,"""""",0.0,FactSheetTotal_right[EmptyCol]
308,FactSheetTotal_right,HeaderColsBGColor,string,calculated,"IF(FactSheetTotal_right[index]<2, FactSheetTotal_right[HeaderRowsBGColor], IF(FactSheetTotal_right[HeaderHasColor], FactSheetTotal_right[HighlightRowsBGColor], BLANK())) ",0.0,FactSheetTotal_right[HeaderColsBGColor]
307,FactSheetTotal_right,HeaderColsFontColor,string,calculated,"IF(FactSheetTotal_right[index]<2, ""White"", ""#c2c2c2"")",0.0,FactSheetTotal_right[HeaderColsFontColor]
309,FactSheetTotal_right,HeaderHasColor,string,tableColumn,,0.0,FactSheetTotal_right[HeaderHasColor]
315,FactSheetTotal_right,HeaderRowsBGColor,string,calculated,"""#273746""",0.0,FactSheetTotal_right[HeaderRowsBGColor]
316,FactSheetTotal_right,HighlightRowsBGColor,string,calculated,"""#273746""",0.0,FactSheetTotal_right[HighlightRowsBGColor]
286,FactSheetTotal_right,Income Statement,string,tableColumn,,0.0,FactSheetTotal_right[Income Statement]
294,FactSheetTotal_right,Mode,string,tableColumn,,0.0,FactSheetTotal_right[Mode]
304,FactSheetTotal_right,NormalColsBGColor,string,calculated,"IF(FactSheetTotal_right[index]<2, FactSheetTotal_right[HeaderRowsBGColor], IF(FactSheetTotal_right[HeaderHasColor], FactSheetTotal_right[HighlightRowsBGColor], BLANK())) ",0.0,FactSheetTotal_right[NormalColsBGColor]
303,FactSheetTotal_right,NormalColsFontColor,string,calculated,"IF(FactSheetTotal_right[index]<2, ""White"", 
                        IF(OR(FactSheetTotal_right[Unit1HasColor],FactSheetTotal_right[Unit2HasColor]),""#00AEDF"",BLANK()))",0.0,FactSheetTotal_right[NormalColsFontColor]
291,FactSheetTotal_right,Quarter,string,tableColumn,,0.0,FactSheetTotal_right[Quarter]
283,FactSheetTotal_right,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,FactSheetTotal_right[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
305,FactSheetTotal_right,Unit1ColsBGColor,string,calculated,"IF(FactSheetTotal_right[index]<2, FactSheetTotal_right[HeaderRowsBGColor], IF(FactSheetTotal_right[HeaderHasColor],FactSheetTotal_right[HighlightRowsBGColor],BLANK()))",0.0,FactSheetTotal_right[Unit1ColsBGColor]
310,FactSheetTotal_right,Unit1HasColor,string,tableColumn,,0.0,FactSheetTotal_right[Unit1HasColor]
287,FactSheetTotal_right,Unit1,string,tableColumn,,0.0,FactSheetTotal_right[Unit1]
306,FactSheetTotal_right,Unit2ColsBGColor,string,calculated,"IF(FactSheetTotal_right[index]<2, FactSheetTotal_right[HeaderRowsBGColor], IF(FactSheetTotal_right[HeaderHasColor], FactSheetTotal_right[HighlightRowsBGColor], BLANK())) ",0.0,FactSheetTotal_right[Unit2ColsBGColor]
311,FactSheetTotal_right,Unit2HasColor,string,tableColumn,,0.0,FactSheetTotal_right[Unit2HasColor]
288,FactSheetTotal_right,Unit2,string,tableColumn,,0.0,FactSheetTotal_right[Unit2]
293,FactSheetTotal_right,Year Quarter,string,tableColumn,,0.0,FactSheetTotal_right[Year Quarter]
290,FactSheetTotal_right,Year,int64,tableColumn,,0.0,FactSheetTotal_right[Year]
285,FactSheetTotal_right,index,int64,tableColumn,,0.0,FactSheetTotal_right[index]
284,FactSheetTotal_right,level_0,int64,tableColumn,,0.0,FactSheetTotal_right[level_0]
338,FactSheet_Charts,A12.1_CY,double,tableColumn,,0.0,FactSheet_Charts[A12.1_CY]
348,FactSheet_Charts,A12.1_PY,double,tableColumn,,0.0,FactSheet_Charts[A12.1_PY]
365,FactSheet_Charts,A12.1_decrease,double,tableColumn,,0.0,FactSheet_Charts[A12.1_decrease]
382,FactSheet_Charts,A12.1_delta,double,tableColumn,,0.0,FactSheet_Charts[A12.1_delta]
364,FactSheet_Charts,A12.1_increase,double,tableColumn,,0.0,FactSheet_Charts[A12.1_increase]
339,FactSheet_Charts,A15.1_CY,double,tableColumn,,0.0,FactSheet_Charts[A15.1_CY]
349,FactSheet_Charts,A15.1_PY,double,tableColumn,,0.0,FactSheet_Charts[A15.1_PY]
367,FactSheet_Charts,A15.1_decrease,double,tableColumn,,0.0,FactSheet_Charts[A15.1_decrease]
383,FactSheet_Charts,A15.1_delta,double,tableColumn,,0.0,FactSheet_Charts[A15.1_delta]
366,FactSheet_Charts,A15.1_increase,double,tableColumn,,0.0,FactSheet_Charts[A15.1_increase]
342,FactSheet_Charts,A18.1_CY,double,tableColumn,,0.0,FactSheet_Charts[A18.1_CY]
352,FactSheet_Charts,A18.1_PY,double,tableColumn,,0.0,FactSheet_Charts[A18.1_PY]
373,FactSheet_Charts,A18.1_decrease,double,tableColumn,,0.0,FactSheet_Charts[A18.1_decrease]
386,FactSheet_Charts,A18.1_delta,double,tableColumn,,0.0,FactSheet_Charts[A18.1_delta]
372,FactSheet_Charts,A18.1_increase,double,tableColumn,,0.0,FactSheet_Charts[A18.1_increase]
341,FactSheet_Charts,A19.1_CY,double,tableColumn,,0.0,FactSheet_Charts[A19.1_CY]
351,FactSheet_Charts,A19.1_PY,double,tableColumn,,0.0,FactSheet_Charts[A19.1_PY]
371,FactSheet_Charts,A19.1_decrease,double,tableColumn,,0.0,FactSheet_Charts[A19.1_decrease]
385,FactSheet_Charts,A19.1_delta,double,tableColumn,,0.0,FactSheet_Charts[A19.1_delta]
370,FactSheet_Charts,A19.1_increase,double,tableColumn,,0.0,FactSheet_Charts[A19.1_increase]
333,FactSheet_Charts,Country,string,tableColumn,,0.0,FactSheet_Charts[Country]
334,FactSheet_Charts,Country_mapping,string,tableColumn,,0.0,FactSheet_Charts[Country_mapping]
359,FactSheet_Charts,RankBy_X01.1_CY,int64,calculated,"RANKX(FILTER( FactSheet_Charts,                                
                                FactSheet_Charts[YearQuarter_CY] = EARLIER(FactSheet_Charts[YearQuarter_CY])),
                        FactSheet_Charts[X01.1_CY])",0.0,FactSheet_Charts[RankBy_X01.1_CY]
356,FactSheet_Charts,RankBy_X11.1_CY,int64,calculated,"RANKX(FILTER( FactSheet_Charts,                                
                                FactSheet_Charts[YearQuarter_CY] = EARLIER(FactSheet_Charts[YearQuarter_CY])),
                        FactSheet_Charts[X11.1_CY])",0.0,FactSheet_Charts[RankBy_X11.1_CY]
357,FactSheet_Charts,RankBy_X21.1_CY,int64,calculated,"RANKX(FILTER( FactSheet_Charts,                                
                                FactSheet_Charts[YearQuarter_CY] = EARLIER(FactSheet_Charts[YearQuarter_CY])),
                        FactSheet_Charts[X21.1_CY])",0.0,FactSheet_Charts[RankBy_X21.1_CY]
358,FactSheet_Charts,RankBy_X33.1_CY,int64,calculated,"RANKX(FILTER( FactSheet_Charts,                                
                                FactSheet_Charts[YearQuarter_CY] = EARLIER(FactSheet_Charts[YearQuarter_CY])),
                        FactSheet_Charts[X33.1_CY])",0.0,FactSheet_Charts[RankBy_X33.1_CY]
331,FactSheet_Charts,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,FactSheet_Charts[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
336,FactSheet_Charts,X01.1_CY,double,tableColumn,,0.0,FactSheet_Charts[X01.1_CY]
346,FactSheet_Charts,X01.1_PY,double,tableColumn,,0.0,FactSheet_Charts[X01.1_PY]
361,FactSheet_Charts,X01.1_decrease,double,tableColumn,,0.0,FactSheet_Charts[X01.1_decrease]
380,FactSheet_Charts,X01.1_delta,double,tableColumn,,0.0,FactSheet_Charts[X01.1_delta]
360,FactSheet_Charts,X01.1_increase,double,tableColumn,,0.0,FactSheet_Charts[X01.1_increase]
337,FactSheet_Charts,X11.1_CY,double,tableColumn,,0.0,FactSheet_Charts[X11.1_CY]
347,FactSheet_Charts,X11.1_PY,double,tableColumn,,0.0,FactSheet_Charts[X11.1_PY]
363,FactSheet_Charts,X11.1_decrease,double,tableColumn,,0.0,FactSheet_Charts[X11.1_decrease]
381,FactSheet_Charts,X11.1_delta,double,tableColumn,,0.0,FactSheet_Charts[X11.1_delta]
362,FactSheet_Charts,X11.1_increase,double,tableColumn,,0.0,FactSheet_Charts[X11.1_increase]
340,FactSheet_Charts,X21.1_CY,double,tableColumn,,0.0,FactSheet_Charts[X21.1_CY]
350,FactSheet_Charts,X21.1_PY,double,tableColumn,,0.0,FactSheet_Charts[X21.1_PY]
369,FactSheet_Charts,X21.1_decrease,double,tableColumn,,0.0,FactSheet_Charts[X21.1_decrease]
384,FactSheet_Charts,X21.1_delta,double,tableColumn,,0.0,FactSheet_Charts[X21.1_delta]
368,FactSheet_Charts,X21.1_increase,double,tableColumn,,0.0,FactSheet_Charts[X21.1_increase]
343,FactSheet_Charts,X31.1_CY,double,tableColumn,,0.0,FactSheet_Charts[X31.1_CY]
353,FactSheet_Charts,X31.1_PY,double,tableColumn,,0.0,FactSheet_Charts[X31.1_PY]
375,FactSheet_Charts,X31.1_decrease,double,tableColumn,,0.0,FactSheet_Charts[X31.1_decrease]
387,FactSheet_Charts,X31.1_delta,double,tableColumn,,0.0,FactSheet_Charts[X31.1_delta]
374,FactSheet_Charts,X31.1_increase,double,tableColumn,,0.0,FactSheet_Charts[X31.1_increase]
344,FactSheet_Charts,X32.1_CY,double,tableColumn,,0.0,FactSheet_Charts[X32.1_CY]
354,FactSheet_Charts,X32.1_PY,double,tableColumn,,0.0,FactSheet_Charts[X32.1_PY]
377,FactSheet_Charts,X32.1_decrease,double,tableColumn,,0.0,FactSheet_Charts[X32.1_decrease]
388,FactSheet_Charts,X32.1_delta,double,tableColumn,,0.0,FactSheet_Charts[X32.1_delta]
376,FactSheet_Charts,X32.1_increase,double,tableColumn,,0.0,FactSheet_Charts[X32.1_increase]
345,FactSheet_Charts,X33.1_CY,double,tableColumn,,0.0,FactSheet_Charts[X33.1_CY]
355,FactSheet_Charts,X33.1_PY,double,tableColumn,,0.0,FactSheet_Charts[X33.1_PY]
379,FactSheet_Charts,X33.1_decrease,double,tableColumn,,0.0,FactSheet_Charts[X33.1_decrease]
389,FactSheet_Charts,X33.1_delta,double,tableColumn,,0.0,FactSheet_Charts[X33.1_delta]
378,FactSheet_Charts,X33.1_increase,double,tableColumn,,0.0,FactSheet_Charts[X33.1_increase]
335,FactSheet_Charts,YearQuarter_CY,string,tableColumn,,0.0,FactSheet_Charts[YearQuarter_CY]
332,FactSheet_Charts,index,int64,tableColumn,,0.0,FactSheet_Charts[index]
551,FactSheet_TargetLines,Country,string,tableColumn,,0.0,FactSheet_TargetLines[Country]
544,FactSheet_TargetLines,ID_X,string,tableColumn,,0.0,FactSheet_TargetLines[ID_X]
545,FactSheet_TargetLines,ID_Y,string,tableColumn,,0.0,FactSheet_TargetLines[ID_Y]
546,FactSheet_TargetLines,LineItem_X,string,tableColumn,,0.0,FactSheet_TargetLines[LineItem_X]
547,FactSheet_TargetLines,LineItem_Y,string,tableColumn,,0.0,FactSheet_TargetLines[LineItem_Y]
542,FactSheet_TargetLines,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,FactSheet_TargetLines[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
552,FactSheet_TargetLines,SlicerID,string,calculated,FactSheet_TargetLines[ID_X] & FactSheet_TargetLines[ID_Y],0.0,FactSheet_TargetLines[SlicerID]
548,FactSheet_TargetLines,YearQuarter,string,tableColumn,,0.0,FactSheet_TargetLines[YearQuarter]
543,FactSheet_TargetLines,index,int64,tableColumn,,0.0,FactSheet_TargetLines[index]
549,FactSheet_TargetLines,value_X,double,tableColumn,,0.0,FactSheet_TargetLines[value_X]
550,FactSheet_TargetLines,value_Y,double,tableColumn,,0.0,FactSheet_TargetLines[value_Y]
553,FactSheet_TargetLines,value_middle,double,tableColumn,,0.0,FactSheet_TargetLines[value_middle]
571,FactSheet_TargetLines_lowerB,Color,string,calculated,"""#27191c""",0.0,FactSheet_TargetLines_lowerB[Color]
569,FactSheet_TargetLines_lowerB,Country,string,tableColumn,,0.0,FactSheet_TargetLines_lowerB[Country]
562,FactSheet_TargetLines_lowerB,ID_X,string,tableColumn,,0.0,FactSheet_TargetLines_lowerB[ID_X]
563,FactSheet_TargetLines_lowerB,ID_Y,string,tableColumn,,0.0,FactSheet_TargetLines_lowerB[ID_Y]
564,FactSheet_TargetLines_lowerB,LineItem_X,string,tableColumn,,0.0,FactSheet_TargetLines_lowerB[LineItem_X]
565,FactSheet_TargetLines_lowerB,LineItem_Y,string,tableColumn,,0.0,FactSheet_TargetLines_lowerB[LineItem_Y]
560,FactSheet_TargetLines_lowerB,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,FactSheet_TargetLines_lowerB[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
570,FactSheet_TargetLines_lowerB,SlicerID,string,calculated,FactSheet_TargetLines_lowerB[ID_X] & FactSheet_TargetLines_lowerB[ID_Y],0.0,FactSheet_TargetLines_lowerB[SlicerID]
566,FactSheet_TargetLines_lowerB,YearQuarter,string,tableColumn,,0.0,FactSheet_TargetLines_lowerB[YearQuarter]
561,FactSheet_TargetLines_lowerB,index,int64,tableColumn,,0.0,FactSheet_TargetLines_lowerB[index]
567,FactSheet_TargetLines_lowerB,value_X,double,tableColumn,,0.0,FactSheet_TargetLines_lowerB[value_X]
568,FactSheet_TargetLines_lowerB,value_Y,double,tableColumn,,0.0,FactSheet_TargetLines_lowerB[value_Y]
572,FactSheet_TargetLines_lowerB,value_max,double,tableColumn,,0.0,FactSheet_TargetLines_lowerB[value_max]
573,FactSheet_TargetLines_lowerB,value_middle,double,tableColumn,,0.0,FactSheet_TargetLines_lowerB[value_middle]
574,FactSheet_TargetLines_lowerB,value_min,double,tableColumn,,0.0,FactSheet_TargetLines_lowerB[value_min]
586,FactSheet_TargetLines_upperB,Color,string,calculated,"""Black""",0.0,FactSheet_TargetLines_upperB[Color]
584,FactSheet_TargetLines_upperB,Country,string,tableColumn,,0.0,FactSheet_TargetLines_upperB[Country]
577,FactSheet_TargetLines_upperB,ID_X,string,tableColumn,,0.0,FactSheet_TargetLines_upperB[ID_X]
578,FactSheet_TargetLines_upperB,ID_Y,string,tableColumn,,0.0,FactSheet_TargetLines_upperB[ID_Y]
579,FactSheet_TargetLines_upperB,LineItem_X,string,tableColumn,,0.0,FactSheet_TargetLines_upperB[LineItem_X]
580,FactSheet_TargetLines_upperB,LineItem_Y,string,tableColumn,,0.0,FactSheet_TargetLines_upperB[LineItem_Y]
575,FactSheet_TargetLines_upperB,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,int64,rowNumber,,1.0,FactSheet_TargetLines_upperB[RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61]
585,FactSheet_TargetLines_upperB,SlicerID,string,calculated,FactSheet_TargetLines_upperB[ID_X] & FactSheet_TargetLines_upperB[ID_Y],0.0,FactSheet_TargetLines_upperB[SlicerID]
581,FactSheet_TargetLines_upperB,YearQuarter,string,tableColumn,,0.0,FactSheet_TargetLines_upperB[YearQuarter]
576,FactSheet_TargetLines_upperB,index,int64,tableColumn,,0.0,FactSheet_TargetLines_upperB[index]
582,FactSheet_TargetLines_upperB,value_X,double,tableColumn,,0.0,FactSheet_TargetLines_upperB[value_X]
583,FactSheet_TargetLines_upperB,value_Y,double,tableColumn,,0.0,FactSheet_TargetLines_upperB[value_Y]
587,FactSheet_TargetLines_upperB,value_max,double,tableColumn,,0.0,FactSheet_TargetLines_upperB[value_max]
588,FactSheet_TargetLines_upperB,value_middle,double,tableColumn,,0.0,FactSheet_TargetLines_upperB[value_middle]
589,FactSheet_TargetLines_upperB,value_min,double,tableColumn,,0.0,FactSheet_TargetLines_upperB[value_min]
558,FactSheet_TargetSlicers,ID_X,string,calculatedTableColumn,"FILTER (
    DISTINCT (
        SELECTCOLUMNS( FactSheet_TargetLines, 
                        ""LineItem_X"", FactSheet_TargetLines[LineItem_X],
                        ""LineItem_Y"", FactSheet_TargetLines[LineItem_Y],
                        ""ID_X"", FactSheet_TargetLines[ID_X],
                        ""ID_Y"", FactSheet_TargetLines[ID_Y])
    ),
    NOT ( ISBLANK ( [ID_X] ) )
)",0.0,FactSheet_TargetSlicers[ID_X]
559,FactSheet_TargetSlicers,ID_Y,string,calculatedTableColumn,"FILTER (
    DISTINCT (
        SELECTCOLUMNS( FactSheet_TargetLines, 
                        ""LineItem_X"", FactSheet_TargetLines[LineItem_X],
                        ""LineItem_Y"", FactSheet_TargetLines[LineItem_Y],
                        ""ID_X"", FactSheet_TargetLines[ID_X],
                        ""ID_Y"", FactSheet_TargetLines[ID_Y])
    ),
    NOT ( ISBLANK ( [ID_X] ) )
)",0.0,FactSheet_TargetSlicers[ID_Y]
