,Company ID,Address,Country
17,GC0001521,"İzmir Yolu 10.km., Ürünlü Mahallesi No:403, Nilüfer 16110 Bursa",Turkey
18,GC0012522,İzmir asfaltı üzeri 5.km EGS Park karşısı 20020 Denizli,Turkey
19,GC0024363,Akçeşme mah. Menderes Bulvarı No:130 Gümüşler 20085 Denizli,Turkey
20,GC0011261,Şanlıurfa Yolu üzeri 3. km. 21 100 Diyarbakır,Turkey
21,GC0010141,"Ufuk Mah., 106.Sok., No:64, Üçköprü, Kaynaşlı 81010 Düzce",Turkey
22,GC0015361,Gezköy Ilıca arası 13.km 25 100 Erzurum,Turkey
23,GC0001519,Yukarı Söğütönü Mah. Çevre Yolu Sk. No:750 3/3 Tepebaşı 26 170 Eskişehir,Turkey
24,GC0001505,"Nesimi Mahallesi Kahramanmaraş Caddesi No:70, Şehitkamil 27620 Gaziantep",Turkey
25,GC0001505,Zeytinli Mah. 79006. Sk. No:3 İç Kapı No:72 Şehitkamil 27500 Gaziantep,Turkey
26,GC0010135,Odabaşı Mahallesi Atatürk Blv. No:113 C Antakya 31050 Hatay,Turkey
27,GC0010135,Güzelburç Mah. Atatürk Cad. No:273A/B/C/D/E Antakya 31175 Hatay,Turkey
28,GC0011261,Hamidiye Mahallesi Selçuklu Cad. No:10 / H Kağıthane 34408 Istanbul,Turkey
29,GC0001515,"Saadetdere Mh. D100 Yan Yolu Otoport Alışveriş Merkezi 5.Bodrum No:3, Esenyurt 34513 Istanbul",Turkey
30,GC0032292,"Selimehatun Camii Sokak, No:44, Gümüşsuyu 34437 Istanbul",Turkey
31,GC0015355,"Akçaburgaz Mahallesi, Mercedes Caddesi, No:6, Esenyurt 34522 Istanbul",Turkey
32,GC0015355,"Akçaburgaz Mahallesi, Mercedes Caddesi, No:6, Esenyurt 34522 Istanbul",Turkey
33,GC0010129,Atatürk Oto Sanayi Sitesi 1.Kısım B Üst Blok No:325 Maslak 34398 Istanbul,Turkey
34,GC0028240,Gökevler Mah. 2312 Sokak No:28 Esenyurt 34522 Istanbul,Turkey
35,GC0015174,Karacaoğlan Mahallesi 6244 Sokak No:111 Bornova 35070 Izmir,Turkey
36,GC0010144,"Şeker Mahallesi, Osman Kavuncu Bulvari No: 274 Kocasinan 38060 Kayseri",Turkey
37,GC0010144,Şeker Mah. 6161. Sk. B Blok apt. No:3A Kocasinan 38080 Kayseri,Turkey
38,GC0010144,Şeker Mah. 6161. Sk. B Blok apt. No:7A Kocasinan 38080 Kayseri,Turkey
39,GC0001511,Emek Mah. D-100 Karayolu No:66 Uzunçiftlik 41180 Kocaeli,Turkey
40,GC0001510,Horozluhan Mahallesi Çevreli Sokak No:2A 42 110 Konya,Turkey
41,GC0023886,1.Organize San. Bitimi Havaalanı Yolu Üzeri 7.km No:17 44225 Malatya,Turkey
42,GC0038814,Elbeyli Mah. Elbeyli Sok. No:88 Kızıltepe/Mardin 47400 Mardin,Turkey
43,GC0034613,Adnan Menderes Mah. İnönü Blv. No:4 Huzurkent 33115 Mersin,Turkey
44,GC0001514,Şahin Mahallesi Sait Polat Bulvarı No:386A Blok Tarsus 33450 Mersin,Turkey
45,GC0001514,"Mersin-Tarsus Karayolu Üzeri Bağcılar Beldesi Mevkii Huzurkent, Tarsus 33 540 Mersin",Turkey
